Name,Number,NP OPR,Auto Sample OPR,Auto Spec OPR,Auto OPR,DC Sample OPR,DC Specimen OPR,DC OPR,Ascent
I Forgot,21336,234,22,45,62,69,87,172,25
Robo Troopers,15167,232,33,14,51,134,41,181,15
SharkBots,14903,227,8,46,47,121,100,180,15
Definitely Human,19743,224,17,44,63,40,105,162,17
Eastern Foxes,19098,220,28,39,46,115,75,176,30
Lion Robotics Gold,21311,220,35,35,51,115,42,169,13
Alphatronic,24033,220,49,37,65,111,54,155,25
RoboPlayers,18270,219,29,32,42,109,51,177,20
GEarheads,16460,218,19,40,48,69,121,174,30
Team Matrix,20870,218,35,16,52,68,72,165,21
Heart of RoBots,20265,216,19,33,50,62,104,167,6
Cristabol,19164,214,5,39,47,110,46,167,15
TehnoZ,15972,209,20,32,46,58,114,174,25
Silver Wolves,20153,207,4,41,45,19,139,162,3
Rapid Unscheduled Disassembly,3189,206,2,39,38,113,37,168,15
The Indubitables,20077,205,6,47,53,50,132,152,13
N.Y.A.N. Robotics - Not Your Average Nerds,10091,202,47,7,45,154,16,158,16
Up-A-Creek Robotics,11260,202,5,54,59,35,121,147,3
All Systems Go,21239,200,2,36,39,116,37,165,16
TURBΩ V8,14259,199,25,39,45,112,78,155,13
Open Source,23213,197,13,47,52,55,117,156,15
Kraken-Pinion,8680,197,32,10,42,118,32,155,21
VERTEX,15534,195,6,38,43,55,90,152,15
CSH,17861,195,36,32,60,110,74,145,10
ASTROBOT,25218,192,23,42,42,89,130,150,15
Gyrobotic Droids,23435,192,28,32,45,85,42,146,30
Mecha Mantises,19862,189,17,32,47,49,95,142,3
OUT of the BOX Robotics,7244,187,30,23,36,118,28,153,13
Triple Fault,23251,186,41,17,47,98,40,140,15
Tech Tigers,19411,186,30,5,36,96,27,150,30
Team Tesseract,21689,185,2,42,45,78,39,140,21
WXYZ,19705,183,16,25,41,62,77,148,21
Eureka,20871,183,3,32,34,25,103,150,23
Texpand,18763,182,43,3,45,119,13,#ERROR!,19
RevAmped Robotics,12808,181,25,20,31,106,46,151,3
High Definition,18225,181,30,38,45,88,46,142,24
GreenAms Robotics Team,24751,181,4,29,33,84,49,148,15
Warbots,10415,181,4,43,44,58,86,140,18
RoboKnights,4348,180,23,35,45,71,73,138,30
Proxima Nova,25631,180,15,44,46,76,65,141,15
TechNova,12611,180,36,30,45,85,48,135,25
Green Machines,17324,180,35,6,39,111,35,142,15
CyBugs,10644,177,9,37,45,36,103,132,9
Escape Velocity,14343,177,32,10,43,90,21,134,20
Referees,11511,177,1,31,32,15,127,145,2
ENFORCERS,7149,175,24,27,46,106,64,146,3
Aztechs,18397,173,13,38,47,38,89,130,15
Barker Redbacks,11146,173,32,1,34,103,20,139,15
I.C.E. Robotics,11329,173,7,31,36,73,72,139,30
Don't Blink,14481,171,26,10,30,114,33,144,3
Jug Rox Robotix,9864,170,18,30,48,33,64,123,27
Ultraviolet,23268,170,9,45,45,41,75,126,13
Gear Wizards,16917,169,7,32,33,74,52,136,14
The Moment Makers,19502,169,26,18,38,105,39,136,15
Hexadecimal Nibble,25620,169,16,34,39,73,46,130,15
Quality Control,21229,169,16,40,43,66,59,126,14
Pokébolts,6962,169,15,30,32,100,38,139,10
Hawk,19836,168,10,38,46,39,96,128,16
Wolfpack Machina,18438,167,7,32,41,64,63,127,15
Blue Jays,6448,166,3,48,53,9,102,112,3
Circuit Breakers,10435,165,13,37,38,82,61,130,14
ITKAN IAR,21836,164,30,9,38,88,35,126,15
VC Silver Circuits,16158,164,26,10,32,110,17,132,15
BC Robocats,7242,164,6,36,37,67,57,126,2
The Golden Ratio,12682,163,28,8,34,104,55,129,22
Scrap Metal,19953,162,27,4,30,120,5,132,12
Firestorm,23638,160,27,12,39,91,32,121,2
Brain Stormz,10298,160,10,38,40,53,114,127,30
PID,24670,160,6,27,35,93,47,125,1
Devolt Deimos,15909,159,30,7,36,95,13,123,19
GorillaBots,5485,159,7,22,27,66,68,132,13
Hyper Droid,10015,158,22,26,42,68,70,116,15
ARC Lightning,4410,158,11,29,36,44,67,126,30
Mystery,19213,158,23,6,31,81,38,130,8
Potential Energy,19706,157,4,34,38,26,85,124,12
MSET CuttleFish,6165,157,19,17,32,84,28,125,23
RoboDux,10255,157,8,30,39,38,74,118,13
Plus Gang,16498,154,23,19,36,103,38,127,16
Gear Rotation,18442,154,10,33,44,18,80,110,13
Atomic Narwhals,16736,154,16,24,31,81,43,126,15
Rival Robotics,26193,153,27,8,40,92,22,114,13
ITKAN JIAR Janktastrophe,24064,153,5,25,29,94,45,129,15
Root Negative One,9879,152,6,25,30,61,45,123,15
The Clueless,11212,152,24,24,38,55,85,114,16
Blue BotBuilders,14380,152,29,5,35,72,36,117,21
The Hive,3747,152,13,26,38,65,71,114,13
MAKE1ROBOT,23845,151,23,6,30,90,36,121,13
Chaos,4848,151,15,16,27,80,23,124,18
SANA,24697,151,8,39,46,59,87,104,3
The Flying Dutchman,23014,150,1,38,37,31,74,113,15
Giggle Pickles,24253,150,4,31,30,76,37,120,9
Team Hazmat,13201,150,19,14,26,97,34,123,15
Lo-Ellen Robotics,16413,149,5,27,35,49,55,115,11
Forever Knight,19666,149,26,16,36,71,53,113,28
ROBOTECH FTC,26914,149,22,7,29,107,10,119,1
S.W.A.R.M.,15555,148,30,11,36,87,17,112,17
LYBOTICS Super Nova Team,19294,147,27,-1,27,87,20,120,16
RoboKings Aurum,12993,147,8,34,33,71,38,114,7
RTF-RoboticTechFrox,20092,147,25,15,34,59,57,118,15
